"dir","type_point","npp","nph","type_res","nom_site"
"DIRCE","visite2","21-01-270-1-133T","212701133","réserve naturelle nationale","Haute Chaîne du Jura"
"DIRCE","visite2","21-01-271-1-128T","212711128","réserve naturelle nationale","Haute Chaîne du Jura"
"DIRCE","visite2","21-15-195-1-208T","211951208","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","visite2","21-15-196-1-197T","211961197","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","visite2","21-15-196-1-199T","211961199","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","visite2","21-15-197-1-204T","211971204","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","visite2","21-15-197-1-206T","211971206","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","visite2","21-15-197-1-210T","211971210","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","visite2","21-15-198-1-201T","211981201","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","visite2","21-15-198-1-205T","211981205","réserve biosphère","Bassin de la Dordogne (zone de transition)"
