npp,id,id_massif,surf_ilot_bdforet_ha
23-43-231-1-186T,77504.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,896.100000000000023
23-43-231-1-188T,74574.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2535.969999999999800
23-43-231-1-190T,75839.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,132.780000000000001
23-43-232-1-185T,75499.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,274.920000000000016
23-43-232-1-191T,75835.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,149.599999999999994
23-43-232-1-193T,75040.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,436.290000000000020
23-43-235-1-184T,74787.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1.850000000000000
23-43-235-1-186T,77175.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2768.309999999999945
23-43-236-1-187T,77175.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2768.309999999999945
23-43-236-1-191T,83111.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,34.590000000000003
23-43-237-1-186T,79112.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,537.009999999999991
23-43-238-1-187T,77020.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,575.700000000000045
23-43-239-1-180T,74768.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1471.230000000000018
23-43-239-1-182T,77520.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1835.950000000000045
23-43-239-1-186T,77022.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,468.720000000000027
23-43-239-1-190T,83012.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,444.300000000000011
23-43-240-1-179T,74768.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1471.230000000000018
23-43-240-1-183T,74507.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,449.170000000000016
23-43-240-1-187T,74514.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,340.350000000000023
23-43-240-1-189T,76449.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,85.040000000000006
23-43-240-1-191T,76483.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,9.949999999999999
23-43-241-1-178T,75361.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1237.049999999999955
