OBJECTID,DEP,DEPB,CYCCARTE,TFIFN,FAO2,NUM_DEP,ZPOPCODE,CODE_ONF,FREQUENCY,SUM_Shape_Area
5975,45,45,3,MR,1,45,1,,4,125748485.781861310000000
5976,45,45,3,MR,1,45,1,1O,2,14564349.547900142000000
5977,45,45,3,MR,1,45,1,2M,1,3.763940053498122
5978,45,45,3,MR,1,45,1,2O,2,738271.855506391030000
5979,45,45,3,MR,1,45,2,,2,16226822.014770292000000
5980,45,45,3,MR,1,45,2,1O,1,819396.235690566940000
5981,45,45,3,MR,1,45,2,2O,1,38581.702712508093000
5982,45,45,3,QF,1,45,1,,7,210445281.825232770000000
5983,45,45,3,QF,1,45,1,1O,2,1994312.224958982600000
5984,45,45,3,QF,1,45,1,2M,1,108320.124247438680000
5985,45,45,3,QF,1,45,1,2O,2,443200.436916654230000
5986,45,45,3,QF,1,45,2,,4,43913430.933298700000000
5987,45,45,3,QF,1,45,2,1O,1,232478.964797897320000
5988,45,45,3,QF,1,45,2,2O,1,87711.313602084047000
5989,46,46,4,00,0,46,1,,8,2410460188.276245600000000
5990,46,46,4,00,0,46,1,1O,1,159324.056513421270000
5991,46,46,4,00,0,46,1,2M,2,77161.801116311646000
5992,46,46,4,00,0,46,1,2O,1,269551.284270657460000
5993,46,46,4,00,0,46,2,,7,205638068.087196590000000
5994,46,46,4,00,0,46,2,2O,1,35969.069730443123000
5995,46,46,4,11,1,46,1,,2,11082821.379780818000000
5996,46,46,4,11,1,46,1,1O,1,2197.011848601746400
5997,46,46,4,11,1,46,1,2O,1,5252.956779513631800
5998,46,46,4,11,1,46,2,,1,1949541.724011688500000
5999,46,46,4,31,3,46,1,,1,5934449.271879239900000
6000,46,46,4,31,3,46,2,,1,1225941.871366125500000
6001,46,46,4,44,4,46,1,,2,103243037.136565130000000
6002,46,46,4,44,4,46,1,1O,1,496605.831305454540000
6003,46,46,4,44,4,46,1,2M,2,153309.171377869290000
6004,46,46,4,44,4,46,1,2O,1,182754.462967134230000
6005,46,46,4,44,4,46,2,,1,2043027.360112413300000
6006,46,46,4,46,4,46,1,,3,55110207.260462783000000
6007,46,46,4,46,4,46,1,2M,1,67894.500825919371000
6008,46,46,4,46,4,46,2,,1,1196078.885282036800000
6009,46,46,4,46,4,46,2,2O,1,7.463974365949229
6010,46,46,4,50,5,46,2,,4,4157964.918039350800000
6011,46,46,4,AB,1,46,1,,2,4199482.236505027900000
6012,46,46,4,AB,1,46,2,,1,118017.847187425940000
6013,46,46,4,AF,1,46,1,,3,34418501.024337225000000
6014,46,46,4,AF,1,46,1,1O,1,36959.312500000000000
6015,46,46,4,AF,1,46,1,2O,1,449383.145198700720000
6016,46,46,4,AF,1,46,2,,1,1834862.913438598900000
6017,46,46,4,CP,1,46,1,,6,28171400.357670542000000
6018,46,46,4,CP,1,46,1,1O,1,621563.764337263190000
6019,46,46,4,CP,1,46,1,2O,1,4700893.958342984300000
6020,46,46,4,CP,1,46,2,,2,4899138.518610601300000
6021,46,46,4,CP,1,46,2,2O,1,415805.311010839240000
6022,46,46,4,CR,1,46,1,,4,24802041.489909217000000
6023,46,46,4,CR,1,46,1,1O,1,1875442.819528315700000
6024,46,46,4,CR,1,46,1,2O,1,3056195.673544084700000
6025,46,46,4,CR,1,46,2,,2,1604343.698914271100000
6026,46,46,4,FF,1,46,1,,1,3122775.181305725100000
6027,46,46,4,FF,1,46,2,,1,999656.251108243250000
6028,46,46,4,FR,1,46,1,,1,2542440.092831318700000
6029,46,46,4,FR,1,46,1,2O,1,2532.790930925480100
6030,46,46,4,FR,1,46,2,,1,70165.221962455194000
6031,46,46,4,HB,1,46,1,,6,92265311.817238823000000
6032,46,46,4,HB,1,46,1,1O,1,252.985992276445020
6033,46,46,4,HB,1,46,2,,1,7897954.148419640000000
6034,46,46,4,HF,1,46,1,,8,323053959.757397830000000
6035,46,46,4,HF,1,46,1,1O,1,33380.089545775460000
6036,46,46,4,HF,1,46,1,2O,1,821915.119262723250000
6037,46,46,4,HF,1,46,2,,4,22052591.910487220000000
6038,46,46,4,MR,1,46,1,,8,110677833.120013700000000
6039,46,46,4,MR,1,46,1,1O,1,1262870.149707899700000
6040,46,46,4,MR,1,46,1,2O,1,815946.571643461820000
6041,46,46,4,MR,1,46,2,,2,17072768.542948980000000
6042,46,46,4,QF,1,46,1,,8,1351050527.083521100000000
6043,46,46,4,QF,1,46,1,1O,1,169848.955414118830000
6044,46,46,4,QF,1,46,1,2M,2,2856357.694419842700000
6045,46,46,4,QF,1,46,1,2O,1,992313.546391917160000
6046,46,46,4,QF,1,46,2,,6,70497200.801063567000000
6047,46,46,4,QF,1,46,2,2O,1,18186.498245234929000
6048,46,46,4,WF,3,46,1,,5,294334084.086116140000000
6049,46,46,4,WF,3,46,1,1O,1,793738.118486681370000
6050,46,46,4,WF,3,46,1,2M,2,208908.480242844550000
6051,46,46,4,WF,3,46,1,2O,1,395528.829339984110000
6052,46,46,4,WF,3,46,2,,1,9610481.200189609100000
6053,46,46,4,WF,3,46,2,2O,1,15169.165289063772000
6054,46,46,4,WR,3,46,1,,1,2954215.032521655800000
6055,46,46,4,WR,3,46,1,1O,1,666655.926257431860000
6056,46,46,4,WR,3,46,2,,2,497380.842706113590000
6057,47,47,4,00,0,47,1,,8,2178099342.900540800000000
6058,47,47,4,00,0,47,1,1O,1,117029.071844723630000
6059,47,47,4,00,0,47,1,2M,1,121557.698147261940000
6060,47,47,4,00,0,47,1,2O,1,117123.742348051800000
6061,47,47,4,00,0,47,2,,7,1908978178.033642300000000
6062,47,47,4,00,0,47,2,2O,1,315869.095682266690000
6063,47,47,4,11,1,47,1,,1,3886650.881614873200000
6064,47,47,4,11,1,47,1,2O,1,5084.821109657803400
6065,47,47,4,11,1,47,2,,1,2209991.031074565400000
6066,47,47,4,44,4,47,1,,1,2910374.061167157300000
6067,47,47,4,44,4,47,2,,1,1293531.876200998400000
6068,47,47,4,44,4,47,2,2O,1,13685.369187028631000
6069,47,47,4,46,4,47,1,,1,3392239.822341529700000
6070,47,47,4,46,4,47,2,,1,4705006.136946926800000
6071,47,47,4,50,5,47,1,,2,2458389.865533515300000
6072,47,47,4,50,5,47,1,1O,1,8319.119323333561600
6073,47,47,4,50,5,47,2,,4,54024777.897366181000000
6074,47,47,4,AA,1,47,1,,1,17953324.852720920000000
6075,47,47,4,AA,1,47,1,1O,1,1333702.090380084000000
6076,47,47,4,AA,1,47,2,,2,4875216.019732229400000
6077,47,47,4,AF,1,47,1,,1,1641941.639302419500000
6078,47,47,4,AF,1,47,2,,2,3335092.711408182500000
6079,47,47,4,CMH,1,47,1,,3,9731897.710758945000000
6080,47,47,4,CMH,1,47,1,1O,1,355959.342046945940000
6081,47,47,4,CMH,1,47,1,2O,1,147455.006530764950000
6082,47,47,4,CMH,1,47,2,,2,4189624.798080949100000
6083,47,47,4,CMJ,1,47,1,,4,114361600.741222100000000
6084,47,47,4,CMJ,1,47,1,1O,1,8153577.416196920000000
6085,47,47,4,CMJ,1,47,1,2O,3,685694.438287700410000
6086,47,47,4,CMJ,1,47,2,,1,6992248.097297261500000
6087,47,47,4,CMJ,1,47,2,2O,1,60539.063736434306000
6088,47,47,4,CMM,1,47,1,,4,167117078.660713200000000
6089,47,47,4,CMM,1,47,1,1O,1,2075728.009427823800000
6090,47,47,4,CMM,1,47,1,2O,2,612949.165285227010000
6091,47,47,4,CMM,1,47,2,,3,14230581.944712901000000
6092,47,47,4,CMM,1,47,2,2O,1,194647.820535568050000
6093,47,47,4,CMV,1,47,1,,3,194492532.803007840000000
6094,47,47,4,CMV,1,47,1,1O,1,3497273.812227165800000
6095,47,47,4,CMV,1,47,1,2O,2,1886378.579885639300000
6096,47,47,4,CMV,1,47,2,,2,6271086.992734339100000
6097,47,47,4,CP,1,47,1,,2,9414826.978742763400000
6098,47,47,4,CP,1,47,1,1O,1,611572.058364191210000
6099,47,47,4,CP,1,47,1,2O,1,74423.806474691839000
6100,47,47,4,CP,1,47,2,,2,8691801.074276292700000
6101,47,47,4,CP,1,47,2,2O,1,73060.448421093533000
6102,47,47,4,CR,1,47,1,,1,1210417.868276378800000
6103,47,47,4,CR,1,47,1,1O,1,259327.039413614260000
6104,47,47,4,CR,1,47,1,2O,1,26245.962456143461000
6105,47,47,4,CR,1,47,2,,1,1107878.974327498100000
6106,47,47,4,CR,1,47,2,2O,1,185137.297438595470000
6107,47,47,4,FF,1,47,1,,1,4913340.519057479700000
6108,47,47,4,FF,1,47,1,1O,1,311836.877980478980000
6109,47,47,4,FF,1,47,1,2O,1,131912.824381581650000
6110,47,47,4,FF,1,47,2,,1,3621982.404013233700000
6111,47,47,4,FM,1,47,1,,3,5291000.327480062800000
6112,47,47,4,FM,1,47,1,2O,1,346638.171886209400000
6113,47,47,4,FM,1,47,2,,2,4657733.726511232600000
6114,47,47,4,IF,1,47,1,,8,140066569.150145230000000
6115,47,47,4,IF,1,47,1,2O,1,2581.662977180598300
6116,47,47,4,IF,1,47,2,,5,72639572.586612731000000
6117,47,47,4,IF,1,47,2,2O,1,24652.286194221178000
6118,47,47,4,JF,1,47,1,,6,126247880.146909730000000
6119,47,47,4,JF,1,47,1,1O,1,60694.236379408823000
6120,47,47,4,JF,1,47,1,2O,1,10012580.339304261000000
6121,47,47,4,JF,1,47,2,,4,59924582.874925710000000
6122,47,47,4,JF,1,47,2,2O,2,677230.443376699350000
6123,47,47,4,MM,1,47,1,,5,97553750.937341914000000
6124,47,47,4,MM,1,47,1,1O,1,2389.532345578219100
6125,47,47,4,MM,1,47,1,2O,1,391270.271218445150000
6126,47,47,4,MM,1,47,2,,4,33050006.394084349000000
6127,47,47,4,MM,1,47,2,2O,1,115.040745842207000
6128,47,47,4,QF,1,47,1,,6,36165571.078107633000000
6129,47,47,4,QF,1,47,1,1O,1,335350.987620052770000
6130,47,47,4,QF,1,47,1,2O,2,209652.054250268150000
6131,47,47,4,QF,1,47,2,,2,8811542.121189013100000
6132,47,47,4,WF,3,47,1,,4,26873059.664937351000000
6133,47,47,4,WF,3,47,1,2O,1,4706.271415371915300
6134,47,47,4,WF,3,47,2,,4,11870677.296262240000000
6135,47,47,4,WF,3,47,2,2O,1,277124.222020283110000
6136,47,47,4,WM,3,47,1,,1,237084.225071124730000
6137,47,47,4,WR,3,47,1,,1,22582.665331172291000
6138,47,47,4,WR,3,47,2,,1,68471.699224933982000
6139,48,48,3,00,0,48,1,,7,1264132898.254737600000000
6140,48,48,3,00,0,48,1,1O,2,1160972.438080430000000
