"","npp","ser_86","esspre","sver","vh","hm"
"242","21-68-271-1-068T","D11","09","5",100.519556217977,10.9
"243","21-68-271-1-070T","D11","61","4",45.830882555688,19.2
"244","21-68-271-1-072T","D11","62","6",366.672413027115,26.3
"245","21-68-271-1-074T","D11","61","5",477.602310369019,27.9
"246","21-68-272-1-055T","D11","62","6",426.544697427059,28.3
"247","21-68-272-1-059T","D11","61","6",307.703110751803,27.1
"248","21-68-272-1-065T","D11","61","6",260.801737007749,33.9
"249","21-68-272-1-073T","D11","61","6",484.502235872758,29.6
"250","21-68-272-1-075T","D11","09","5",171.90149875728,31.5
"251","21-68-273-1-068T","D11","09","5",257.173644195602,21.8
"252","21-68-273-1-070T","D11","09","4",205.180769329852,31.3
"253","21-68-273-1-072T","D11","09","5",474.606032645142,31.4
"254","21-68-273-1-074T","D11","61","6",514.728202331795,34.9
"255","21-68-274-1-057T","D11","62","4",405.889474648713,26
"256","21-68-274-1-061T","D11","52","6",301.641888654477,24.3
"257","21-68-274-1-065T","D11","61","5",586.29759320822,32.3
"258","21-68-274-1-069T","D11","61","5",428.502918930738,38.5
"259","21-68-274-1-073T","D11","61","4",206.39930969134,32.1
"260","21-68-275-1-062T","D11","61","5",179.645308629589,22.7
"261","21-68-275-1-066T","D11","09","5",336.898883751598,32
"262","21-68-275-1-068T","D11","64","6",182.353591944496,23.9
"263","21-68-276-1-063T","D11","52","5",273.12725482493,20.1
"264","21-68-276-1-069T","D11","61","4",46.1068195581348,21.8
"265","21-68-276-1-071T","D11","03","5",47.0892038932201,20.5
"266","21-70-263-1-074T","D11","62","6",111.208658736004,30
"267","21-70-264-1-075T","D11","62","4",39.7480697198824,17.8
"268","21-70-265-1-074T","D11","61","4",284.797483108899,26.3
"269","21-70-265-1-076T","D11","03","6",363.795395864473,25.2
"270","21-70-265-1-078T","D11","61","6",286.745832493223,25.9
"271","21-70-266-1-077T","D11","03","5",467.219394755557,23.1
"272","21-70-267-1-074T","D11","03","5",230.753483561772,18.4
"273","21-70-267-1-076T","D11","61","4",384.235793192277,26.3
"274","21-70-268-1-075T","D11","09","5",445.803055733407,33.4
"275","21-70-268-1-077T","D11","09","5",244.508571941104,26.4
"276","21-70-269-1-076T","D11","09","6",607.581274609761,30.4
"277","21-88-260-1-071T","D11","09","5",418.747072875323,23.5
"278","21-88-261-1-056T","D11","52","4",171.332931830618,24.9
"279","21-88-261-1-058T","D11","52","4",165.971406855732,29.3
"280","21-88-261-1-060T","D11","09","5",110.938037858862,18.1
"281","21-88-261-1-070T","D11","62","4",8.04345384486647,10.7
"282","21-88-261-1-072T","D11","61","6",581.040484274037,23.5
"283","21-88-261-1-074T","D11","61","4",454.206007436944,37
"284","21-88-262-1-057T","D11","62","5",338.590755564334,27.5
"285","21-88-262-1-061T","D11","09","4",171.803413046875,32.2
"286","21-88-262-1-069T","D11","61","4",239.754486217202,15.1
"287","21-88-263-1-056T","D11","61","6",483.122908729866,31.5
"288","21-88-263-1-058T","D11","12","5",53.9430699254438,16.5
"289","21-88-263-1-060T","D11","64","6",509.502279161302,31.3
"290","21-88-263-1-064T","D11","09","4",119.185635075116,19.6
"291","21-88-263-1-066T","D11","23","4",6.51629976031963,8.6
"292","21-88-263-1-068T","D11","09","4",100.851540266198,26.5
"293","21-88-263-1-072T","D11","62","4",20.3670713508268,12.8
